Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
Syberia,9.5,FALSE,FALSE,FALSE,FALSE,FALSE
Syberia 2,7.5,FALSE,FALSE,FALSE,FALSE,FALSE
Tabletop Sim,N/A,FALSE,FALSE,FALSE,TRUE,TRUE
Tales from Candlekeep,10,FALSE,FALSE,FALSE,FALSE,FALSE
Terraria,52,FALSE,FALSE,FALSE,FALSE,FALSE
TES: Oblivion,31,TRUE,TRUE,FALSE,TRUE,FALSE
TES: Online,186,FALSE,FALSE,FALSE,FALSE,TRUE
TES: Skyrim,26,FALSE,TRUE,TRUE,TRUE,FALSE
The Bard's Tale,14,FALSE,FALSE,FALSE,FALSE,FALSE
The Charnel House Trilogy,2,FALSE,FALSE,FALSE,FALSE,FALSE
The Escapists 2,17,FALSE,TRUE,FALSE,FALSE,TRUE
The Forest,16,TRUE,FALSE,FALSE,FALSE,TRUE
The Great Ace Attorney Chronicles,67,TRUE,TRUE,TRUE,FALSE,FALSE
The Henry Stickman Collection,2,FALSE,TRUE,TRUE,TRUE,FALSE
The Invincible,6.5,FALSE,FALSE,FALSE,FALSE,FALSE
The Murder of STH,2.5,TRUE,FALSE,FALSE,FALSE,FALSE
The Stanley Parable,9,FALSE,TRUE,FALSE,TRUE,FALSE
The Witcher 3,51.5,FALSE,FALSE,FALSE,TRUE,FALSE
Titan Quest,26,FALSE,FALSE,FALSE,FALSE,FALSE
TLOZ: A Link to the Past,15,FALSE,TRUE,TRUE,FALSE,FALSE
TLOZ: Link's Awakening DX HD,14,FALSE,TRUE,FALSE,FALSE,FALSE
TLOZ: Majora's Mask,21,TRUE,TRUE,FALSE,TRUE,FALSE
TLOZ: Ocarina of Time,27,TRUE,TRUE,FALSE,TRUE,FALSE
To the moon,4,TRUE,FALSE,FALSE,FALSE,FALSE
Tokyo Dark,5,TRUE,FALSE,FALSE,FALSE,FALSE
Total War: ROME,34,FALSE,FALSE,FALSE,FALSE,FALSE
Tyrion Cuthbert: Attorney of the Arcane,15.5,FALSE,TRUE,TRUE,TRUE,FALSE
Ultimate Chicken Horse,4,FALSE,TRUE,FALSE,TRUE,TRUE
Undertale,7,FALSE,TRUE,TRUE,TRUE,FALSE
Valkyria Chronicles,30.5,TRUE,TRUE,FALSE,FALSE,FALSE
Valkyria Chronicles 4,37,FALSE,FALSE,FALSE,FALSE,FALSE
Warhammer 40k: Battlesector,23,FALSE,FALSE,FALSE,FALSE,FALSE
Warlords: Battlecry 3,15,FALSE,FALSE,FALSE,FALSE,FALSE
Watch_dogs,19.5,FALSE,TRUE,FALSE,FALSE,FALSE
Wolfenstiein: The New Order,11.5,FALSE,FALSE,FALSE,FALSE,FALSE
Yakuza 0,31.5,FALSE,FALSE,FALSE,FALSE,FALSE
Yakuza Kiwami,18,FALSE,FALSE,FALSE,FALSE,FALSE
Yakuza Like a Dragon,45.5,FALSE,FALSE,FALSE,FALSE,FALSE
Yooka Laylee and the Impossible Lair,13,TRUE,TRUE,FALSE,TRUE,FALSE
Yume Nikki,5,FALSE,FALSE,FALSE,FALSE,FALSE
Zero Escape: The Nonary Games,34,FALSE,FALSE,FALSE,FALSE,FALSE
Zero Escape: Zero Time Dillemma,20.5,FALSE,FALSE,FALSE,FALSE,FALSE
