Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
Age of Empires,41.14,FALSE,FALSE,FALSE,FALSE,TRUE
Kingdom Come: Deliverance,41.5,FALSE,FALSE,FALSE,FALSE,FALSE
Neverwinter Nights,43,FALSE,FALSE,FALSE,FALSE,TRUE
Metal Gear Solid 5,45.5,FALSE,FALSE,FALSE,FALSE,TRUE
Yakuza Like a Dragon,45.5,FALSE,FALSE,FALSE,FALSE,FALSE
Lords of Xulima,47.5,FALSE,FALSE,FALSE,FALSE,FALSE
Dragon Age Inquisition,51,FALSE,FALSE,FALSE,FALSE,TRUE
Heroes of Might and Magic 5,52,FALSE,FALSE,FALSE,FALSE,TRUE
Heroes of Might and Magic 3,56,FALSE,FALSE,FALSE,FALSE,TRUE
Empyrion,60,FALSE,FALSE,FALSE,FALSE,TRUE
Final Fantasy X-X2,75.5,FALSE,FALSE,FALSE,FALSE,FALSE
Satisfactory,98,FALSE,FALSE,FALSE,FALSE,TRUE
Mass Effect: Legendary Edition,108,FALSE,FALSE,FALSE,FALSE,FALSE
TES: Online,186,FALSE,FALSE,FALSE,FALSE,TRUE
ARK,200,FALSE,FALSE,FALSE,FALSE,TRUE
Dead by Daylight,283,FALSE,FALSE,FALSE,FALSE,TRUE
ARK: Survival of the Fittest,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Capcom Beat'em Up Bundle,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Capcom Fighting Collection,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
King of the Castle,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Overwatch 2,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Street Fighter 30th Anniversary Collection,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Street Fighter 5,N/A,FALSE,FALSE,FALSE,FALSE,TRUE
Human Fall Flat,6,FALSE,TRUE,TRUE,FALSE,TRUE
Spider-Man: Miles Morales,7.5,FALSE,TRUE,TRUE,FALSE,FALSE
TLOZ: A Link to the Past,15,FALSE,TRUE,TRUE,FALSE,FALSE
